able | lemma: able | synsets: 4
actual | lemma: actual | synsets: 5
appeared | lemma: appear | synsets: 7
aware | lemma: aware | synsets: 2
become | lemma: become | synsets: 4
betray | lemma: betray | synsets: 6
big | lemma: big | synsets: 17
blow | lemma: blow | synsets: 29
break | lemma: break | synsets: 75
brief | lemma: brief | synsets: 6
certain | lemma: certain | synsets: 7
civilian | lemma: civilian | synsets: 2
clear | lemma: clear | synsets: 45
complete | lemma: complete | synsets: 10
conscious | lemma: conscious | synsets: 3
cop | lemma: cop | synsets: 3
correct | lemma: correct | synsets: 12
crimson | lemma: crimson | synsets: 5
destroyed | lemma: destroy | synsets: 4
different | lemma: different | synsets: 5
dodge | lemma: dodge | synsets: 6
due | lemma: due | synsets: 7
elastic | lemma: elastic | synsets: 4
eliminated | lemma: eliminate | synsets: 7
enough | lemma: enough | synsets: 3
escape | lemma: escape | synsets: 15
eternal | lemma: eternal | synsets: 2
few | lemma: few | synsets: 2
fine | lemma: fine | synsets: 10
finish | lemma: finish | synsets: 15
first | lemma: first | synsets: 16
fit | lemma: fit | synsets: 16
foolish | lemma: foolish | synsets: 2
front | lemma: front | synsets: 13
golden | lemma: golden | synsets: 6
good | lemma: good | synsets: 27
immense | lemma: immense | synsets: 1
imminent | lemma: imminent | synsets: 1
important | lemma: important | synsets: 5
keep | lemma: keep | synsets: 25
let | lemma: let | synsets: 8
live | lemma: live | synsets: 19
lonely | lemma: lonely | synsets: 4
loose | lemma: loose | synsets: 18
many | lemma: many | synsets: 1
mean | lemma: mean | synsets: 16
mind | lemma: mind | synsets: 13
mine | lemma: mine | synsets: 4
mr. | lemma: mr. | synsets: 1
n | lemma: n | synsets: 5
new | lemma: new | synsets: 12
okay | lemma: okay | synsets: 4
open | lemma: open | synsets: 36
other | lemma: other | synsets: 4
past | lemma: past | synsets: 6
perish | lemma: perish | synsets: 1
possible | lemma: possible | synsets: 4
rest | lemma: rest | synsets: 18
rid | lemma: rid | synsets: 1
right | lemma: right | synsets: 36
run | lemma: run | synsets: 57
second | lemma: second | synsets: 15
shadow | lemma: shadow | synsets: 12
shots | lemma: shot | synsets: 38
shut | lemma: shut | synsets: 5
song | lemma: song | synsets: 6
soul | lemma: soul | synsets: 5
stand | lemma: stand | synsets: 24
stuck | lemma: stick | synsets: 25
sudden | lemma: sudden | synsets: 1
sure | lemma: sure | synsets: 10
tear | lemma: tear | synsets: 9
thrown | lemma: throw | synsets: 20
total | lemma: total | synsets: 7
true | lemma: true | synsets: 15
unleashed | lemma: unleash | synsets: 3
weak | lemma: weak | synsets: 12
